Course Section	Course Subject	Course Number	Section Number	Section Status	Enrolled/Capacity	All Instructors	Units	Meeting Patterns	Locations	Course Tags	Instructional Format	Delivery Mode	Start Date	End Date	Academic Period	Overlapping Course(s)
ACTG 11-1 - Introduction to Financial Accounting (-)	Accounting	11	1	Closed	26/0	Stacey Ritter	4	M W F | 8:00 AM - 9:05 AM	Rm 209 Lucas Hall	LSB Core :: Undergraduate Business Core	Lecture	In-Person	9/18/2023	12/8/2023	Fall 2023 Quarter	
ACTG 11-2 - Introduction to Financial Accounting (-)	Accounting	11	2	Closed	24/0	Stacey Ritter	4	M W F | 9:15 AM - 10:20 AM	Rm 209 Lucas Hall	LSB Core :: Undergraduate Business Core	Lecture	In-Person	9/18/2023	12/8/2023	Fall 2023 Quarter	
ACTG 11-3 - Introduction to Financial Accounting (-)	Accounting	11	3	Closed	25/0	Stacey Ritter	4	M W F | 11:45 AM - 12:50 PM	Rm 206 Lucas Hall	LSB Core :: Undergraduate Business Core	Lecture	In-Person	9/18/2023	12/8/2023	Fall 2023 Quarter	
ACTG 11-4 - Introduction to Financial Accounting (-)	Accounting	11	4	Closed	27/0	Stacey Ritter	4	M W F | 1:00 PM - 2:05 PM	Rm 206 Lucas Hall	LSB Core :: Undergraduate Business Core	Lecture	In-Person	9/18/2023	12/8/2023	Fall 2023 Quarter	
ACTG 11-5 - Introduction to Financial Accounting (-)	Accounting	11	5	Closed	27/0	Stacey Ritter	4	M W | 3:30 PM - 5:15 PM	Rm 206 Lucas Hall	LSB Core :: Undergraduate Business Core	Lecture	In-Person	9/18/2023	12/8/2023	Fall 2023 Quarter	
ACTG 11-6 - Introduction to Financial Accounting (-)	Accounting	11	6	Closed	23/23	Matthew Cedergren	4	M W F | 8:00 AM - 9:05 AM	Rm 208 Lucas Hall	LSB Core :: Undergraduate Business Core	Lecture	In-Person	9/18/2023	12/8/2023	Fall 2023 Quarter	
ACTG 11-7 - Introduction to Financial Accounting (-)	Accounting	11	7	Closed	23/0	Matthew Cedergren	4	M W F | 9:15 AM - 10:20 AM	Rm 208 Lucas Hall	LSB Core :: Undergraduate Business Core	Lecture	In-Person	9/18/2023	12/8/2023	Fall 2023 Quarter	
ACTG 11-8 - Introduction to Financial Accounting (-)	Accounting	11	8	Closed	28/0	Matthew Cedergren	4	M W F | 11:45 AM - 12:50 PM	Rm 207 Lucas Hall	LSB Core :: Undergraduate Business Core	Lecture	In-Person	9/18/2023	12/8/2023	Fall 2023 Quarter	
ACTG 11-9 - Introduction to Financial Accounting (-)	Accounting	11	9	Closed	24/0	Amanda Badger	4	T Th | 8:30 AM - 10:10 AM	Rm 207 Lucas Hall	LSB Core :: Undergraduate Business Core	Lecture	In-Person	9/18/2023	12/8/2023	Fall 2023 Quarter	
ACTG 11-10 - Introduction to Financial Accounting (-)	Accounting	11	10	Closed	28/0	Amanda Badger	4	T Th | 12:10 PM - 1:50 PM	RM 3116 SCDI	LSB Core :: Undergraduate Business Core	Lecture	In-Person	9/18/2023	12/8/2023	Fall 2023 Quarter	
ACTG 11-11 - Introduction to Financial Accounting (-)	Accounting	11	11	Closed	23/0	Michael Calegari	4	M W F | 9:15 AM - 10:20 AM	Rm 306 Lucas Hall	LSB Core :: Undergraduate Business Core	Lecture	In-Person	9/18/2023	12/8/2023	Fall 2023 Quarter	
