Course Section	Course Subject	Course Number	Section Number	Section Status	Enrolled/Capacity	All Instructors	Units	Meeting Patterns	Locations	Course Tags	Instructional Format	Delivery Mode	Start Date	End Date	Academic Period	Overlapping Course(s)
ACTG 5-01 - Personal Financial Planning	Accounting	5	1	Open	28/0		4				Lecture	In-Person	4/3/2023	6/9/2023	Spring 2023 Quarter	
ACTG 11-01 - Intro to Financial Accounting (-)	Accounting	11	1	Open	33/30		4			LSB Core :: Undergraduate Business Core	Lecture	In-Person	4/3/2023	6/9/2023	Spring 2023 Quarter	
ACTG 11A-01 - Intro to Financial Accounting	Accounting	11A	1	Open	28/27		4				Lecture	In-Person	4/3/2023	6/9/2023	Spring 2023 Quarter	
ACTG 12-01 - Intro to Managerial Accounting (-)	Accounting	12	1	Open	31/28		4			LSB Core :: Undergraduate Business Core	Lecture	In-Person	4/3/2023	6/9/2023	Spring 2023 Quarter	
ACTG 12-02 - Intro to Managerial Accounting (-)	Accounting	12	2	Open	9/28		4			LSB Core :: Undergraduate Business Core	Lecture	In-Person	4/3/2023	6/9/2023	Spring 2023 Quarter	
ACTG 12-03 - Intro to Managerial Accounting (-)	Accounting	12	3	Open	25/28		4			LSB Core :: Undergraduate Business Core	Lecture	In-Person	4/3/2023	6/9/2023	Spring 2023 Quarter	
ACTG 12-04 - Intro to Managerial Accounting (-)	Accounting	12	4	Open	26/28		4			LSB Core :: Undergraduate Business Core	Lecture	In-Person	4/3/2023	6/9/2023	Spring 2023 Quarter	
ACTG 12-05 - Intro to Managerial Accounting (-)	Accounting	12	5	Open	25/28		4			LSB Core :: Undergraduate Business Core	Lecture	In-Person	4/3/2023	6/9/2023	Spring 2023 Quarter	
ACTG 120-01 - Actg Data Analy &Visualization	Accounting	120	1	Open	29/20		5			Pathways :: The Digital Age	Lecture	In-Person	4/3/2023	6/9/2023	Spring 2023 Quarter	
ACTG 120-02 - Actg Data Analy &Visualization	Accounting	120	2	Open	28/20		5			Pathways :: The Digital Age	Lecture	In-Person	4/3/2023	6/9/2023	Spring 2023 Quarter	
ACTG 131-01 - Intermediate Financial Actg II	Accounting	131	1	Open	23/26		5				Lecture	In-Person	4/3/2023	6/9/2023	Spring 2023 Quarter	
ACTG 132-01 - Advanced Financial Accounting	Accounting	132	1	Open	34/26		5				Lecture	In-Person	4/3/2023	6/9/2023	Spring 2023 Quarter	
ACTG 135-01 - Auditing	Accounting	135	1	Open	31/23		5				Lecture	In-Person	4/3/2023	6/9/2023	Spring 2023 Quarter	
ACTG 135-02 - Auditing	Accounting	135	2	Open	31/23		5				Lecture	In-Person	4/3/2023	6/9/2023	Spring 2023 Quarter	
ACTG 138-01 - Tax Planning & Busn Decisions	Accounting	138	1	Open	29/28		5				Lecture	In-Person	4/3/2023	6/9/2023	Spring 2023 Quarter	
ACTG 144-01 - Accounting Ethics	Accounting	144	1	Open	30/18		5			Pathways :: Applied Ethics	Lecture	In-Person	4/3/2023	6/9/2023	Spring 2023 Quarter	
ACTG 144-02 - Accounting Ethics	Accounting	144	2	Open	24/18		5			Pathways :: Applied Ethics	Lecture	In-Person	4/3/2023	6/9/2023	Spring 2023 Quarter	
ACTG 150-01 - Fncl Fraud Detectn & Investgtn	Accounting	150	1	Open	11/30		5				Lecture	In-Person	4/3/2023	6/9/2023	Spring 2023 Quarter	
ACTG 155-01 - Financial Information Systems	Accounting	155	1	Open	13/15		5				Lecture	In-Person	4/3/2023	6/9/2023	Spring 2023 Quarter	
ACTG 183-01 - Auditing	Accounting	183	1	Open	24/30		5			CAAP	Lecture	In-Person	4/3/2023	6/15/2023	Spring 2023 Quarter	
ACTG 185-01 - Cost Management and Strategy	Accounting	185	1	Open	24/30		6			CAAP	Lecture	In-Person	4/3/2023	6/15/2023	Spring 2023 Quarter	
ACTG 187-01 - Accounting Information Systems	Accounting	187	1	Open	24/30		5			CAAP	Lecture	In-Person	4/3/2023	6/15/2023	Spring 2023 Quarter	
ACTG 191-01 - Peer Educator in Accounting	Accounting	191	1	Open	9/10		1 - 2				Independent Study	In-Person	4/3/2023	6/9/2023	Spring 2023 Quarter	
ACTG 191-02 - Peer Educator in Accounting	Accounting	191	2	Open	1/5		2				Independent Study	In-Person	4/3/2023	6/9/2023	Spring 2023 Quarter	
ACTG 191-03 - Peer Educator in Accounting	Accounting	191	3	Open	4/10		1 - 2				Independent Study	In-Person	4/3/2023	6/9/2023	Spring 2023 Quarter	
ACTG 191-04 - Peer Educator in Accounting	Accounting	191	4	Open	2/10		2				Independent Study	In-Person	4/3/2023	6/9/2023	Spring 2023 Quarter	
ACTG 191-05 - Peer Educator in Accounting	Accounting	191	5	Open	10/10		1 - 2				Independent Study	In-Person	4/3/2023	6/9/2023	Spring 2023 Quarter	
ACTG 198-01 - Accounting Internship (-)	Accounting	198	1	Open	0/1		5				Internship	In-Person	4/3/2023	6/9/2023	Spring 2023 Quarter	
ACTG 3000-01 - Financial Accounting	Accounting	3000	1	Open	26/26		4				Lecture	Online	4/3/2023	6/11/2023	Spring 2023 Quarter	
ACTG 3000-02 - Financial Accounting	Accounting	3000	2	Open	15/15		4				Lecture	Online	4/3/2023	6/11/2023	Spring 2023 Quarter	
AERO 1B-01 - Foundations of USAF	Aerospace Studies	1B	1	Open	1/5		1.5				Combination	In-Person	4/3/2023	6/9/2023	Spring 2023 Quarter	
AERO 2B-01 - Evol of USAF Air & Space Power	Aerospace Studies	2B	1	Open	0/5		1.5				Combination	In-Person	4/3/2023	6/9/2023	Spring 2023 Quarter	
