Course Section	Course Subject	Course Number	Section Number	Section Status	Enrolled/Capacity	All Instructors	Units	Meeting Patterns	Locations	Course Tags	Instructional Format	Delivery Mode	Start Date	End Date	Academic Period	Overlapping Course(s)
ACTG 134-1 - Accounting Information Systems	Accounting	134	1	Closed	31/24	Qiru Zhang	5	T Th | 10:20 AM - 12:00 PM	Rm 007 Casa Italiana Residence	Core Explorations :: Science, Technology and Society  LSB Core :: Undergraduate Business Core  Pathways :: The Digital Age  Pathways :: Values in Science and Technology	Lecture	In-Person	9/23/2024	12/13/2024	Fall 2024 Quarter	
ACTG 135-1 - Auditing	Accounting	135	1	Open	20/24	Stacey Ritter	5	M W | 3:30 PM - 5:15 PM	Rm 208 Lucas Hall		Lecture	In-Person	9/23/2024	12/13/2024	Fall 2024 Quarter	
ACTG 136-1 - Cost Accounting (-)	Accounting	136	1	Closed	26/26	Siqi Li	5	M W F | 9:15 AM - 10:20 AM	Rm 209 Lucas Hall		Lecture	In-Person	9/23/2024	12/13/2024	Fall 2024 Quarter	
ACTG 136-2 - Cost Accounting (-)	Accounting	136	2	Closed	27/26	Siqi Li	5	M W F | 10:30 AM - 11:35 AM	Rm 209 Lucas Hall		Lecture	In-Person	9/23/2024	12/13/2024	Fall 2024 Quarter	
ACTG 144-1 - Accounting Ethics	Accounting	144	1	Closed	24/24	Guido van Drunen	5	T Th | 3:50 PM - 5:30 PM	Rm 135 Vari Hall	Pathways :: Applied Ethics	Lecture	In-Person	9/23/2024	12/13/2024	Fall 2024 Quarter	
ACTG 155-1 - Financial Information Systems	Accounting	155	1	Closed	14/0	Xiaochen Zhu	5	T Th | 12:10 PM - 1:50 PM	Rm 206 O'Connor Hall		Lecture	In-Person	9/23/2024	12/13/2024	Fall 2024 Quarter	ACTG 155-/OMIS 150-1
ACTG 161-1 - Junior Contemporary Business Seminar Series I	Accounting	161	1	Open	29/30	Yongtae Kim	2	T | 3:50 PM - 5:30 PM	Rm 207 Daly Science 200		Seminar	In-Person	9/23/2024	12/13/2024	Fall 2024 Quarter	ACTG 161-/ACTG 171-1
ACTG 171-1 - Sr Contemporary Business Seminar I	Accounting	171	1	Open	29/30	Yongtae Kim	2	T | 3:50 PM - 5:30 PM	Rm 207 Daly Science 200		Seminar	In-Person	9/23/2024	12/13/2024	Fall 2024 Quarter	ACTG 171-/ACTG 161-1
ACTG 191-1 - Peer Educator in Accounting	Accounting	191	1	Closed	10/10	Matthew Cedergren	1				Independent Study	In-Person	9/23/2024	12/13/2024	Fall 2024 Quarter	
ACTG 191-2 - Peer Educator in Accounting	Accounting	191	2	Open	0/1	Wendy Donohoe	1				Independent Study	In-Person	9/23/2024	12/13/2024	Fall 2024 Quarter	
ACTG 191-3 - Peer Educator in Accounting	Accounting	191	3	Closed	1/1	Wendy Donohoe	2				Independent Study	In-Person	9/23/2024	12/13/2024	Fall 2024 Quarter	
ACTG 191-4 - Peer Educator in Accounting	Accounting	191	4	Open	6/10	Michael Calegari	2				Independent Study	In-Person	9/23/2024	12/13/2024	Fall 2024 Quarter	
ACTG 191-5 - Peer Educator in Accounting	Accounting	191	5	Closed	5/4	Michael Calegari	1				Independent Study	In-Person	9/23/2024	12/13/2024	Fall 2024 Quarter	
ACTG 198-1 - Accounting Internship (-)	Accounting	198	1	Closed	0/0	Wendy Donohoe	2 - 5				Internship	In-Person	9/23/2024	12/13/2024	Fall 2024 Quarter	
ACTG 199-1 - Directed Reading/Directed Research (-)	Accounting	199	1	Closed	1/1	Stacey Ritter	4				Independent Study	In-Person	9/23/2024	12/13/2024	Fall 2024 Quarter	
ACTG 3000-1 - CORE: Financial Accounting	Accounting	3000	1	Open	32/35	Brian Nelson	4			Online	Lecture	Online	9/23/2024	12/8/2024	Fall 2024 Quarter	
ACTG 3000-2 - CORE: Financial Accounting	Accounting	3000	2	Open	10/30	Brian Nelson	4			Online	Lecture	Online	9/23/2024	12/8/2024	Fall 2024 Quarter	
