Course Section	Course Subject	Course Number	Section Number	Section Status	Enrolled/Capacity	All Instructors	Units	Meeting Patterns	Locations	Course Tags	Instructional Format	Delivery Mode	Start Date	End Date	Academic Period	Overlapping Course(s)
ACTG 11-1 - Introduction to Financial Accounting (-)	Accounting	11	1	Waitlist	24/26	Haidan Li	4	M W F | 9:15 AM - 10:20 AM	Rm 207 Lucas Hall	LSB Core :: Undergraduate Business Core	Lecture	In-Person	1/8/2024	3/17/2024	Winter 2024 Quarter	
ACTG 11-2 - Introduction to Financial Accounting (-)	Accounting	11	2	Waitlist	25/26	Haidan Li	4	M W F | 10:30 AM - 11:35 AM	Rm 207 Lucas Hall	LSB Core :: Undergraduate Business Core	Lecture	In-Person	1/8/2024	3/17/2024	Winter 2024 Quarter	
ACTG 11-3 - Introduction to Financial Accounting (-)	Accounting	11	3	Open	25/26	Haidan Li	4	M W F | 1:00 PM - 2:05 PM	RM 2302 SCDI	LSB Core :: Undergraduate Business Core	Lecture	In-Person	1/8/2024	3/17/2024	Winter 2024 Quarter	
ACTG 11-4 - Introduction to Financial Accounting (-)	Accounting	11	4	Open	25/26	Stacey Ritter	4	T Th | 8:30 AM - 10:10 AM	Rm 214 Kenna Hall	LSB Core :: Undergraduate Business Core	Lecture	In-Person	1/8/2024	3/17/2024	Winter 2024 Quarter	
ACTG 11-5 - Introduction to Financial Accounting (-)	Accounting	11	5	Open	20/26	Christopher Paisley | Chris Paisley	4	T Th | 3:50 PM - 5:30 PM	Rm 209 Lucas Hall	LSB Core :: Undergraduate Business Core	Lecture	In-Person	1/8/2024	3/17/2024	Winter 2024 Quarter	
ACTG 11A-1 - Introduction to Financial Accounting	Accounting	11A	1	Open	22/26	Ke Li | Kevin Li	4	T Th | 12:10 PM - 1:50 PM	Rm 164 Graham Hall		Lecture	In-Person	1/8/2024	3/17/2024	Winter 2024 Quarter	
ACTG 12-1 - Introduction to Managerial Accounting (-)	Accounting	12	1	Waitlist	27/26	Stephen Carter	4	M W F | 11:45 AM - 12:50 PM	Rm 120 Alumni Science Hall	LSB Core :: Undergraduate Business Core	Lecture	In-Person	1/8/2024	3/17/2024	Winter 2024 Quarter	
ACTG 12-2 - Introduction to Managerial Accounting (-)	Accounting	12	2	Waitlist	27/26	Joseph Maglione | Joe Maglione	4	T Th | 8:30 AM - 10:10 AM	Rm 129 Vari Hall	LSB Core :: Undergraduate Business Core	Lecture	In-Person	1/8/2024	3/17/2024	Winter 2024 Quarter	
ACTG 12-3 - Introduction to Managerial Accounting (-)	Accounting	12	3	Open	25/26	Joseph Maglione | Joe Maglione	4	T Th | 10:20 AM - 12:00 PM	Rm 129 Vari Hall	LSB Core :: Undergraduate Business Core	Lecture	In-Person	1/8/2024	3/17/2024	Winter 2024 Quarter	
ACTG 12-4 - Introduction to Managerial Accounting (-)	Accounting	12	4	Waitlist	26/26	Wendy Donohoe	4	M W F | 9:15 AM - 10:20 AM	Rm 206 Lucas Hall	LSB Core :: Undergraduate Business Core	Lecture	In-Person	1/8/2024	3/17/2024	Winter 2024 Quarter	
ACTG 12-5 - Introduction to Managerial Accounting (-)	Accounting	12	5	Waitlist	25/26	Wendy Donohoe	4	M W F | 10:30 AM - 11:35 AM	Rm 206 Lucas Hall	LSB Core :: Undergraduate Business Core	Lecture	In-Person	1/8/2024	3/17/2024	Winter 2024 Quarter	
ACTG 12-6 - Introduction to Managerial Accounting (-)	Accounting	12	6	Open	25/26	Haoning Richter	4	T Th | 2:00 PM - 3:40 PM	Rm 102 Kenna Hall	LSB Core :: Undergraduate Business Core	Lecture	In-Person	1/8/2024	3/17/2024	Winter 2024 Quarter	
ACTG 12-7 - Introduction to Managerial Accounting (-)	Accounting	12	7	Waitlist	25/0	Haoning Richter	4	T Th | 3:50 PM - 5:30 PM	Rm 102 Kenna Hall	LSB Core :: Undergraduate Business Core	Lecture	In-Person	1/8/2024	3/17/2024	Winter 2024 Quarter	
ACTG 12-8 - Introduction to Managerial Accounting (-)	Accounting	12	8	Waitlist	26/26	Haoning Richter	4	T Th | 5:40 PM - 7:10 PM	Rm 102 Kenna Hall	LSB Core :: Undergraduate Business Core	Lecture	In-Person	1/8/2024	3/17/2024	Winter 2024 Quarter	
ACTG 12-9 - Introduction to Managerial Accounting (-)	Accounting	12	9	Open	16/26	Qiru Zhang	4	M W F | 9:15 AM - 10:20 AM	Rm 103 Alameda hall	LSB Core :: Undergraduate Business Core	Lecture	In-Person	1/8/2024	3/17/2024	Winter 2024 Quarter	
ACTG 12-10 - Introduction to Managerial Accounting (-)	Accounting	12	10	Open	25/26	Qiru Zhang	4	M W F | 10:30 AM - 11:35 AM	Rm 103 Alameda hall	LSB Core :: Undergraduate Business Core	Lecture	In-Person	1/8/2024	3/17/2024	Winter 2024 Quarter	
ACTG 12-11 - Introduction to Managerial Accounting (-)	Accounting	12	11	Waitlist	26/26	Qiru Zhang	4	M W F | 1:00 PM - 2:05 PM	RM 3115 SCDI	LSB Core :: Undergraduate Business Core	Lecture	In-Person	1/8/2024	3/17/2024	Winter 2024 Quarter	
ACTG 12-12 - Introduction to Managerial Accounting (-)	Accounting	12	12	Open	25/26	Amanda Badger	4	T Th | 8:30 AM - 10:10 AM	Rm 307 Lucas Hall	LSB Core :: Undergraduate Business Core	Lecture	In-Person	1/8/2024	3/17/2024	Winter 2024 Quarter	
ACTG 12-13 - Introduction to Managerial Accounting (-)	Accounting	12	13	Open	24/26	Amanda Badger	4	T Th | 12:10 PM - 1:50 PM	Rm 208 Lucas Hall	LSB Core :: Undergraduate Business Core	Lecture	In-Person	1/8/2024	3/17/2024	Winter 2024 Quarter	
ACTG 12-14 - Introduction to Managerial Accounting (-)	Accounting	12	14	Waitlist	27/26	Amanda Badger	4	T Th | 2:00 PM - 3:40 PM	Rm 208 Lucas Hall	LSB Core :: Undergraduate Business Core	Lecture	In-Person	1/8/2024	3/17/2024	Winter 2024 Quarter	
ACTG 130-1 - Intermediate Financial Accounting I (-)	Accounting	130	1	Waitlist	32/28	Haidan Li	5	T Th | 10:20 AM - 12:00 PM	RM 1308 SCDI		Lecture	In-Person	1/8/2024	3/17/2024	Winter 2024 Quarter	
ACTG 131-1 - Intermediate Financial Accounting II	Accounting	131	1	Waitlist	26/26	Ke Li | Kevin Li	5	T Th | 8:30 AM - 10:10 AM	Rm 164 Graham Hall		Lecture	In-Person	1/8/2024	3/17/2024	Winter 2024 Quarter	
ACTG 131-2 - Intermediate Financial Accounting II	Accounting	131	2	Waitlist	31/26	Ke Li | Kevin Li	5	T Th | 10:20 AM - 12:00 PM	Rm 164 Graham Hall		Lecture	In-Person	1/8/2024	3/17/2024	Winter 2024 Quarter	
ACTG 134-1 - Accounting Information Systems	Accounting	134	1	Waitlist	33/26	Alan Nguyen	5	T Th | 3:50 PM - 5:30 PM	Rm 306 Lucas Hall	Core Explorations :: Science, Technology and Society  LSB Core :: Undergraduate Business Core  Pathways :: The Digital Age  Pathways :: Values in Science and Technology	Lecture	In-Person	1/8/2024	3/17/2024	Winter 2024 Quarter	
ACTG 136-1 - Cost Accounting (-)	Accounting	136	1	Waitlist	29/28	Stephen Carter	5	M W F | 2:15 PM - 3:20 PM	Rm 208 Lucas Hall		Lecture	In-Person	1/8/2024	3/17/2024	Winter 2024 Quarter	
ACTG 138-1 - Tax Planning and Business Decisions	Accounting	138	1	Open	19/25	Suzanne Luttman	5	T Th | 8:30 AM - 10:10 AM	Rm 208 Lucas Hall		Lecture	In-Person	1/8/2024	3/17/2024	Winter 2024 Quarter	
ACTG 138-2 - Tax Planning and Business Decisions	Accounting	138	2	Waitlist	33/25	Suzanne Luttman	5	T Th | 10:20 AM - 12:00 PM	Rm 208 Lucas Hall		Lecture	In-Person	1/8/2024	3/17/2024	Winter 2024 Quarter	
ACTG 140-1 - Not for Profit Accounting	Accounting	140	1	Open	18/26	Stephen Carter	3	W | 3:30 PM - 5:15 PM	Rm 310 Kenna Hall		Lecture	In-Person	1/8/2024	3/17/2024	Winter 2024 Quarter	
ACTG 151-1 - Financial Statement Analysis (-)	Accounting	151	1	Open	10/26	Michael Calegari	5	T Th | 2:00 PM - 3:40 PM	Rm 216 Kenna Hall		Lecture	In-Person	1/8/2024	3/17/2024	Winter 2024 Quarter	
ACTG 155-1 - Financial Information Systems	Accounting	155	1	Waitlist	20/0	Xiaochen Zhu	5	T Th | 8:30 AM - 10:10 AM	Rm 120 Alumni Science Hall		Lecture	In-Person	1/8/2024	3/17/2024	Winter 2024 Quarter	ACTG 155-/OMIS 150-1
ACTG 191-1 - Peer Educator in Accounting	Accounting	191	1	Closed	1/1	Haoning Richter	1				Independent Study	In-Person	1/8/2024	3/22/2024	Winter 2024 Quarter	
ACTG 191-2 - Peer Educator in Accounting	Accounting	191	2	Closed	2/2	Haoning Richter	2				Independent Study	In-Person	1/8/2024	3/22/2024	Winter 2024 Quarter	
ACTG 191-3 - Peer Educator in Accounting	Accounting	191	3	Open	8/9	Matthew Cedergren	1				Independent Study	In-Person	1/8/2024	3/22/2024	Winter 2024 Quarter	
