Course Section	Course Subject	Course Number	Section Number	Section Status	Enrolled/Capacity	All Instructors	Units	Meeting Patterns	Locations	Course Tags	Instructional Format	Delivery Mode	Start Date	End Date	Academic Period	Overlapping Course(s)
ACTG 11-1 - Introduction to Financial Accounting (-)	Accounting	11	1	Waitlist	26/26	Stacey Ritter	4	T Th | 8:30 AM - 10:10 AM	Rm 209 Lucas Hall	LSB Core :: Undergraduate Business Core	Lecture	In-Person	1/6/2025	3/21/2025	Winter 2025 Quarter	
ACTG 11-2 - Introduction to Financial Accounting (-)	Accounting	11	2	Waitlist	27/26	Stacey Ritter	4	T Th | 10:20 AM - 12:00 PM	Rm 209 Lucas Hall	LSB Core :: Undergraduate Business Core	Lecture	In-Person	1/6/2025	3/21/2025	Winter 2025 Quarter	
ACTG 11-3 - Introduction to Financial Accounting (-)	Accounting	11	3	Waitlist	26/26	Haidan Li	4	M W F | 9:15 AM - 10:20 AM	Rm 209 Lucas Hall	LSB Core :: Undergraduate Business Core	Lecture	In-Person	1/6/2025	3/21/2025	Winter 2025 Quarter	
ACTG 11-4 - Introduction to Financial Accounting (-)	Accounting	11	4	Open	20/26	Christine Lebar	4	M W F | 3:30 PM - 4:35 PM	Rm 309 Lucas Hall	LSB Core :: Undergraduate Business Core	Lecture	In-Person	1/6/2025	3/21/2025	Winter 2025 Quarter	
ACTG 11-5 - Introduction to Financial Accounting (-)	Accounting	11	5	Open	10/26	Christopher Paisley | Chris Paisley	4	T Th | 3:50 PM - 5:30 PM	Rm 306 Lucas Hall	LSB Core :: Undergraduate Business Core	Lecture	In-Person	1/6/2025	3/21/2025	Winter 2025 Quarter	
ACTG 11A-1 - Introduction to Financial Accounting	Accounting	11A	1	Open	12/26	Sudhindra Kankanwadi | Sujit Kankanwadi	4	T Th | 5:40 PM - 7:20 PM	Rm 129 Vari Hall		Lecture	In-Person	1/6/2025	3/21/2025	Winter 2025 Quarter	
ACTG 12-2 - Introduction to Managerial Accounting (-)	Accounting	12	2	Open	25/26	Joseph Maglione | Joe Maglione	4	T Th | 2:00 PM - 3:40 PM	Rm 106 O'Connor Hall	LSB Core :: Undergraduate Business Core	Lecture	In-Person	1/6/2025	3/21/2025	Winter 2025 Quarter	
ACTG 12-3 - Introduction to Managerial Accounting (-)	Accounting	12	3	Open	18/26	Yongtae Kim	4	T Th | 10:20 AM - 12:00 PM	Rm 120 Alumni Science Hall	LSB Core :: Undergraduate Business Core	Lecture	In-Person	1/6/2025	3/21/2025	Winter 2025 Quarter	
ACTG 12-4 - Introduction to Managerial Accounting (-)	Accounting	12	4	Open	6/26	Yongtae Kim	4	T Th | 2:00 PM - 3:40 PM	Rm 104 Kenna Hall	LSB Core :: Undergraduate Business Core	Lecture	In-Person	1/6/2025	3/21/2025	Winter 2025 Quarter	
ACTG 12-5 - Introduction to Managerial Accounting (-)	Accounting	12	5	Closed	26/26	Wendy Donohoe	4	M W F | 9:15 AM - 10:20 AM	RM 3116 SCDI	LSB Core :: Undergraduate Business Core	Lecture	In-Person	1/6/2025	3/21/2025	Winter 2025 Quarter	
ACTG 12-6 - Introduction to Managerial Accounting (-)	Accounting	12	6	Closed	26/26	Wendy Donohoe	4	M W F | 10:30 AM - 11:35 AM	RM 3116 SCDI	LSB Core :: Undergraduate Business Core	Lecture	In-Person	1/6/2025	3/21/2025	Winter 2025 Quarter	
ACTG 12-7 - Introduction to Managerial Accounting (-)	Accounting	12	7	Closed	27/26	Haoning Richter	4	M W | 3:30 PM - 5:15 PM	Rm 102 Kenna Hall	LSB Core :: Undergraduate Business Core	Lecture	In-Person	1/6/2025	3/21/2025	Winter 2025 Quarter	
ACTG 12-8 - Introduction to Managerial Accounting (-)	Accounting	12	8	Open	25/26	Haoning Richter	4	M W | 5:25 PM - 7:10 PM	Rm 102 Kenna Hall	LSB Core :: Undergraduate Business Core	Lecture	In-Person	1/6/2025	3/21/2025	Winter 2025 Quarter	
